Date,Close
2002-11-01,339.11
2002-11-04,352.03
2002-11-05,354.41
2002-11-06,349.32
2002-11-07,336.22
2002-11-08,330.23
2002-11-11,328.11
2002-11-12,328.31
2002-11-13,326.17
2002-11-14,335.66
2002-11-15,338.17
2002-11-18,343.24
2002-11-19,340.82
2002-11-20,339.35
2002-11-21,356.34
2002-11-22,357.56
2002-11-25,358.59
2002-11-26,347.64
2002-11-27,357.4
2002-11-28,360.1
2002-11-29,361.99
2002-12-02,361.16
2002-12-03,349.23
2002-12-04,343.28
2002-12-05,339.33
2002-12-06,338.47
2002-12-09,330.09
2002-12-10,331.05
2002-12-11,335.72
2002-12-12,330.09
2002-12-13,322.75
2002-12-16,335.51
2002-12-17,330.39
2002-12-18,323.55
2002-12-19,320.72
2002-12-20,325.24
2002-12-23,329.72
2002-12-24,327.36
2002-12-27,317.86
2002-12-30,320.29
2002-12-31,322.73
2003-01-02,337.26
2003-01-03,335.34
2003-01-06,336.23
2003-01-07,334.89
2003-01-08,328.74
2003-01-09,333.15
2003-01-10,333.13
2003-01-13,335.2
2003-01-14,335.15
2003-01-15,330.73
2003-01-16,329.99
2003-01-17,318.59
2003-01-20,313.04
2003-01-21,307.69
2003-01-22,300.79
2003-01-23,297.89
2003-01-24,295.84
2003-01-27,284.33
2003-01-28,284.85
2003-01-29,282.72
2003-01-30,292.94
2003-01-31,294.94
2003-02-03,298.99
2003-02-04,285.54
2003-02-05,290.87
2003-02-06,284.35
2003-02-07,279.22
2003-02-10,274.8
2003-02-11,284.44
2003-02-12,275.4
2003-02-13,275.66
2003-02-14,284.33
2003-02-17,291.1
2003-02-18,293.72
2003-02-19,286.1
2003-02-20,281.61
2003-02-21,280.08
2003-02-24,267.67
2003-02-25,257.31
2003-02-26,253.43
2003-02-27,258.45
2003-02-28,266.21
2003-03-03,267.54
2003-03-04,257.06
2003-03-05,253.53
2003-03-06,246.89
2003-03-07,236.2
2003-03-10,228.26
2003-03-11,227.67
2003-03-12,218.44
2003-03-13,240.25
2003-03-14,257.33
2003-03-17,268.96
2003-03-18,264.1
2003-03-19,267.81
2003-03-20,264.91
2003-03-21,278.09
2003-03-24,260.34
2003-03-25,267.65
2003-03-26,266.59
2003-03-27,261.38
2003-03-28,262.12
2003-03-31,248.54
2003-04-01,252.57
2003-04-02,265.17
2003-04-03,268.89
2003-04-04,270.53
2003-04-07,285.89
2003-04-08,279.49
2003-04-09,278.11
2003-04-10,271.97
2003-04-11,276.22
2003-04-14,278.87
2003-04-15,288.22
2003-04-16,287.45
2003-04-17,287.21
2003-04-22,287.66
2003-04-23,291.69
2003-04-24,282.54
2003-04-25,278.3
2003-04-28,287.34
2003-04-29,283.61
2003-04-30,282.63
2003-05-02,279.33
2003-05-05,286.63
2003-05-06,290.65
2003-05-07,285.84
2003-05-08,278.69
2003-05-09,282.04
2003-05-12,282.94
2003-05-13,282
2003-05-14,282.15
2003-05-15,284.15
2003-05-16,287.83
2003-05-19,273.81
2003-05-20,274.89
2003-05-21,268.58
2003-05-22,274.95
2003-05-23,270.42
2003-05-26,270.18
2003-05-27,272.15
2003-05-28,278.64
2003-05-29,277.83
2003-05-30,280.57
2003-06-02,286.18
2003-06-03,283.36
2003-06-04,289.73
2003-06-05,289.39
2003-06-06,299.59
2003-06-09,293.08
2003-06-10,294.57
2003-06-11,301.73
2003-06-12,305.61
2003-06-13,296.18
2003-06-16,303.55
2003-06-17,304.52
2003-06-18,306.6
2003-06-19,299.86
2003-06-20,303.4
2003-06-23,292.83
2003-06-24,290.28
2003-06-25,294.49
2003-06-26,292.81
2003-06-27,298.02
2003-06-30,291.55
2003-07-01,285.11
2003-07-02,294.17
2003-07-03,295.5
2003-07-04,292.63
2003-07-07,306.18
2003-07-08,307.23
2003-07-09,302.55
2003-07-10,298.76
2003-07-11,303.21
2003-07-14,309.06
2003-07-15,309.98
2003-07-16,308.27
2003-07-17,302.31
2003-07-18,309.41
2003-07-21,305.77
2003-07-22,308.55
2003-07-23,306.43
2003-07-24,312
2003-07-25,308.04
2003-07-28,311.97
2003-07-29,309.98
2003-07-30,311.77
2003-07-31,317.49
2003-08-01,314.74
2003-08-04,311.6
2003-08-05,314.25
2003-08-06,308.5
2003-08-07,309.31
2003-08-08,312.35
2003-08-11,313.24
2003-08-12,315.36
2003-08-13,315.26
2003-08-14,320.05
2003-08-15,322.99
2003-08-18,324.84
2003-08-19,326.52
2003-08-20,325.81
2003-08-21,330.27
2003-08-22,334.15
2003-08-25,330.62
2003-08-26,327.01
2003-08-27,331.02
2003-08-28,331.11
2003-08-29,329.41
2003-09-01,337.11
2003-09-02,336.41
2003-09-03,341.43
2003-09-04,339.79
2003-09-05,339.23
2003-09-08,342.2
2003-09-09,337.58
2003-09-10,331.05
2003-09-11,330.5
2003-09-12,328.27
2003-09-15,331.52
2003-09-16,334.5
2003-09-17,337.38
2003-09-18,338.4
2003-09-19,334.82
2003-09-22,327.01
2003-09-23,322.74
2003-09-24,322.22
2003-09-25,318.24
2003-09-26,313.98
2003-09-29,312.52
2003-09-30,306.78
2003-10-01,311.58
2003-10-02,314.47
2003-10-03,323.51
2003-10-06,320.41
2003-10-07,318.25
2003-10-08,317.14
2003-10-09,324.6
2003-10-10,323.13
2003-10-13,328.67
2003-10-14,326.42
2003-10-15,331.38
2003-10-16,327.84
2003-10-17,330.06
2003-10-20,327.53
2003-10-21,328.85
2003-10-22,322.03
2003-10-23,317.36
2003-10-24,316.43
2003-10-27,320.23
2003-10-28,322.83
2003-10-29,325.45
2003-10-30,328.55
2003-10-31,330.22
2003-11-03,340.7
2003-11-04,338.15
2003-11-05,336
2003-11-06,338.88
2003-11-07,342.99
2003-11-10,339.17
2003-11-11,336.35
2003-11-12,336.85
2003-11-13,338.87
2003-11-14,338.84
2003-11-17,328.95
2003-11-18,328.5
2003-11-19,327.23
2003-11-20,325.57
2003-11-21,325.1
2003-11-24,333.58
2003-11-25,334.12
2003-11-26,332.32
2003-11-27,334.35
2003-11-28,332.19
2003-12-01,337.08
2003-12-02,336.93
2003-12-03,339.12
2003-12-04,337.89
2003-12-05,334.64
2003-12-08,331.85
2003-12-09,332.21
2003-12-10,327.76
2003-12-11,330.13
2003-12-12,329.92
2003-12-15,330.26
2003-12-16,328.25
2003-12-17,325.88
2003-12-18,328.59
2003-12-19,331.65
2003-12-22,330.13
2003-12-23,331.02
2003-12-24,332.06
2003-12-29,334.53
2003-12-30,337.04
2003-12-31,337.65
2004-01-02,342.76
2004-01-05,343.74
2004-01-06,342.11
2004-01-07,340.17
2004-01-08,345.29
2004-01-09,343.52
2004-01-12,341.53
2004-01-13,342.77
2004-01-14,347.23
2004-01-15,351.47
2004-01-16,357.55
2004-01-19,357.34
2004-01-20,354.25
2004-01-21,357.45
2004-01-22,357.97
2004-01-23,357.13
2004-01-26,355.58
2004-01-27,356.96
